Hora,IP Origen,IP Destino,Tipo ICMP,Código ICMP
2025-05-30 20:00:24.539522,192.168.0.12,8.8.8.8,8,0
2025-05-30 20:00:24.560645,8.8.8.8,192.168.0.12,0,0
2025-05-30 20:00:25.556275,192.168.0.12,8.8.8.8,8,0
2025-05-30 20:00:25.575099,8.8.8.8,192.168.0.12,0,0
2025-05-30 20:00:26.575457,192.168.0.12,8.8.8.8,8,0
2025-05-30 20:00:26.591730,8.8.8.8,192.168.0.12,0,0
2025-05-30 20:00:27.583708,192.168.0.12,8.8.8.8,8,0
2025-05-30 20:00:27.608518,8.8.8.8,192.168.0.12,0,0
2025-05-30 20:00:29.201560,192.168.0.12,8.8.8.8,8,0
2025-05-30 20:00:29.214478,8.8.8.8,192.168.0.12,0,0
